antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['times']),frozenset(['arms']),0.045292785506308636,0.03202846975088968,0.004529278550630864,0.1,3.1222222222222222,0.0030786199401085235,1.0755239224990114
frozenset(['arms']),frozenset(['rum']),0.03202846975088968,0.06567453898414753,0.004529278550630864,0.1414141414141414,2.1532567049808424,0.00242582356537347,1.088214360477287
frozenset(['rum']),frozenset(['arms']),0.06567453898414753,0.03202846975088968,0.004529278550630864,0.06896551724137931,2.153256704980843,0.00242582356537347,1.0396731250823779
frozenset(['brandy']),frozenset(['guns']),0.04820446457457134,0.07246845681009383,0.005499838240051763,0.11409395973154363,1.5743947746883988,0.0020065350809757424,1.046986363146182
frozenset(['guns']),frozenset(['brandy']),0.07246845681009383,0.04820446457457134,0.005499838240051763,0.07589285714285714,1.5743947746883986,0.0020065350809757424,1.029962318528
frozenset(['brandy']),frozenset(['times']),0.04820446457457134,0.045292785506308636,0.004529278550630864,0.09395973154362416,2.0744966442953023,0.0023459640762083516,1.0537138885893333
frozenset(['times']),frozenset(['brandy']),0.045292785506308636,0.04820446457457134,0.004529278550630864,0.1,2.074496644295302,0.0023459640762083516,1.0575505949171429
frozenset(['brandy']),frozenset(['iron']),0.04820446457457134,0.13749595600129408,0.011323196376577159,0.2348993288590604,1.7084090011843662,0.004695277436365959,1.1273079171562035
frozenset(['iron']),frozenset(['brandy']),0.13749595600129408,0.04820446457457134,0.011323196376577159,0.08235294117647059,1.7084090011843662,0.004695277436365959,1.0372130834764286
frozenset(['brandy']),frozenset(['rum']),0.04820446457457134,0.06567453898414753,0.009705596894208994,0.20134228187919462,3.0657585876285247,0.00653979090629635,1.169869694885395
frozenset(['rum']),frozenset(['brandy']),0.06567453898414753,0.04820446457457134,0.009705596894208994,0.14778325123152708,3.0657585876285247,0.00653979090629635,1.1168467843431331
frozenset(['sletias']),frozenset(['niconees']),0.05596894208993853,0.05402782271109673,0.009382076997735361,0.1676300578034682,3.102661728565989,0.006358196917172522,1.1364804629929184
frozenset(['niconees']),frozenset(['sletias']),0.05402782271109673,0.05596894208993853,0.009382076997735361,0.17365269461077845,3.1026617285659897,0.006358196917172522,1.1424143961665236
frozenset(['longees']),frozenset(['silk']),0.016175994823681657,0.011970236169524426,0.008411517308314461,0.52,43.44108108108108,0.008217886829997988,2.058395341313491
frozenset(['silk']),frozenset(['longees']),0.011970236169524426,0.016175994823681657,0.008411517308314461,0.7027027027027026,43.44108108108107,0.008217886829997988,3.3092261992294336
frozenset(['plains']),frozenset(['iron']),0.03979294726625687,0.13749595600129408,0.008735037204788094,0.21951219512195122,1.5964992826398852,0.003263667878305023,1.105083306373342
frozenset(['iron']),frozenset(['plains']),0.13749595600129408,0.03979294726625687,0.008735037204788094,0.06352941176470588,1.5964992826398852,0.003263667878305023,1.0253467271654293
frozenset(['tapseils']),frozenset(['iron']),0.0459398252992559,0.13749595600129408,0.009705596894208994,0.2112676056338028,1.5365368682684342,0.0033890566961553674,1.0935319129269307
frozenset(['iron']),frozenset(['tapseils']),0.13749595600129408,0.0459398252992559,0.009705596894208994,0.07058823529411765,1.5365368682684342,0.0033890566961553674,1.0265204411337119
frozenset(['sletias']),frozenset(['bouges']),0.05596894208993853,0.013587835651892591,0.004529278550630864,0.0809248554913295,5.95568400770713,0.0037687817639024857,1.0732660656114628
frozenset(['bouges']),frozenset(['sletias']),0.013587835651892591,0.05596894208993853,0.004529278550630864,0.33333333333333337,5.95568400770713,0.0037687817639024857,1.4160465868650922
frozenset(['sletias']),frozenset(['iron']),0.05596894208993853,0.13749595600129408,0.016823034616628922,0.30057803468208094,2.186086365181911,0.009127531417591758,1.2331669389402986
frozenset(['iron']),frozenset(['sletias']),0.13749595600129408,0.05596894208993853,0.016823034616628922,0.12235294117647058,2.186086365181911,0.009127531417591758,1.0756386048573086
